Speech;Timestamp
Svijetljivo.;0:00:00 - 0:00:02
Ha, jeste se sjetili kak se dokaže A povlači A?;0:00:06 - 0:00:09
Pa da, da.;0:00:10 - 0:00:12
Je.;0:00:12 - 0:00:13
Pa dobro.;0:00:13 - 0:00:14
Budemo sad.;0:00:14 - 0:00:16
Sve vaš službeno malo podsjetili?;0:00:18 - 0:00:20
Znači šta, a vjerojatno ono,;0:00:30 - 0:00:32
A povlači A se čini nekak dosta direktno,;0:00:33 - 0:00:35
da ne bi sad trebalo nekakve kontrapozicije, okretanja i tak.;0:00:35 - 0:00:38
A ovoga, čak i za nešto neprivredno kao što je sistem RS.;0:00:39 - 0:00:44
I nekak se čini da sad nećemo trebati B, C, Ž i tak dalje,;0:00:46 - 0:00:49
nego nekak da su A-ovi dosta, jel tako?;0:00:49 - 0:00:51
E sad nekak, ono, kad bi čovjek samo napucao u ovaj prvi aksijon ovoga A-ove,;0:00:52 - 0:00:59
a nekak se čini da sad ovaj drugi, ne da je baš nešto jako korisno, jel tako?;0:01:00 - 0:01:05
Jer šta, jedno, kad primjenimo modus ponens i dobijemo ovo čudo,;0:01:05 - 0:01:09
nekak se ne čini kao da se može napredovati, jel?;0:01:11 - 0:01:14
Pa onda vjerojatno ipak tu gore treba malo zakomplicirat.;0:01:15 - 0:01:18
I onda kaj ste napravili?;0:01:18 - 0:01:20
Tako.;0:01:21 - 0:01:22
Znači tu ste stavili ne baš A,;0:01:24 - 0:01:26
nego ovo što želite dobiti, jel?;0:01:27 - 0:01:29
Dobro. I sad se čini da će to ovoga,;0:01:31 - 0:01:34
sad naravno treba napisati ovu šemu cijelu, jel?;0:01:35 - 0:01:39
Znači ovo je šema aksijoma, instanca šeme aksijoma RS1, ili kak joj uvijek zovemo, A1.;0:01:41 - 0:01:49
Ovo tu će biti od A2, jel?;0:01:52 - 0:01:54
Znači ovo je A1, mislim da smo bili zvali, ovo će biti A2.;0:01:54 - 0:01:58
Eee, samo trenutak.;0:02:01 - 0:02:04
Ne, ne, krivo, ovo sam htio.;0:02:05 - 0:02:07
A1, povlači.;0:02:08 - 0:02:10
