Speech;Timestamp
samo primijeniti onu lemu za koju kolega rekao da posjeća na neki način;0:00:00 - 0:00:07
na postop rezultati iz teorije izračunjivosti, to ćemo vidjeti i poslije,;0:00:07 - 0:00:12
koja se bavi rekurzivnim i rekurzivno prebrojivim relacijama.;0:00:12 - 0:00:18
Relacija je rekurzivna, ako i samo ako su ona i njezine komplement rekurzivno prebrojive.;0:00:18 - 0:00:26
Ne možete uvijek napraviti, jako rijetko možete direktno primijeniti to,;0:00:27 - 0:00:33
jer kad god imate, ovdje je bila stvar da imate samo trivialnu signaturu,;0:00:33 - 0:00:40
samo jednakost i sve ono što ispunjava ovo će biti beskonačno,;0:00:40 - 0:00:50
sve ono što ne ispunjava to će biti konačno i gotovo.;0:00:50 - 0:00:54
Na primjer, što ja znam u ovom primjeru, ne mogu samo koristenjem oneleme;0:00:56 - 0:01:01
dokazati da klasa svih nedjeljivih grupa nije elementarna.;0:01:01 - 0:01:07
Dakle, vidite šta je problem.;0:01:07 - 0:01:09
Nekako u komplementu od K žive ne samo nedjeljive grupe, nego i negrupe.;0:01:09 - 0:01:16
Dakle, jednostavno ono što uopće ne zadovoljava aksiome grupe.;0:01:16 - 0:01:19
Dakle, može se i tome doskočiti na neki način, ali to su puno kompliciranije stvari.;0:01:19 - 0:01:23
Vidjet ćemo neke ideje toga kad budemo pričali o teoremiju očuvanja puno kasnije.;0:01:23 - 0:01:32
Dobro, dakle, još jedan primjer.;0:01:32 - 0:01:36
Dakle, klasa svih polja karakteristike nula je elementarna.;0:01:36 - 0:01:40
Zašto je elementarna?;0:01:40 - 0:01:41
Zato što, evo, mogu jednostavno, ne da mi se pisat,;0:01:41 - 0:01:46
ali S0 je nekakav skup svih aksioma teorije polja,;0:01:46 - 0:01:50
znači, valjda ih ima devet, tako se dobro sjećam.;0:01:50 - 0:01:52
Dakle, asocijativnost, brajanje množenja, nekakvi neutralni elementi,;0:01:52 - 0:01:57
inverzi svega osim nule, s obzirom na množenje i takve neke stvari.;0:01:57 - 0:02:00
Dakle, svako ih tu ima konačno mnogo.;0:02:00 - 0:02:03
I još onda znači...;0:02:03 - 0:02:05
Ima takvih i još ih ima ovakvih.;0:02:15 - 0:02:18
Dakle, ovo je...;0:02:18 - 0:02:20
Dobro, znači, negacija jednakosti, ali dakle.;0:02:23 - 0:02:27
Ovo je zapravo jedna aksioma teorije polja.;0:02:27 - 0:02:30
Dakle, jednostavno da jedinica nije nula, to mora tako biti u svakom polju.;0:02:30 - 0:02:34
Znači, nema polja karakteristike 1, ali sad na to još nadodam;0:02:34 - 0:02:39
